epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,439.168,0.49998,0.64694,0.91855,0.97112,0.75,0.81656,0.71993,0.38903,0.66069,0.755,0.00120491,0.00120491,0.00120491
44,449.125,0.47476,0.62403,0.91597,0.98542,0.75,0.77503,0.73638,0.36269,0.6829,0.71669,0.00119391,0.00119391,0.00119391
45,458.834,0.48523,0.62567,0.91418,0.94662,0.75,0.77596,0.71785,0.36069,0.7014,0.72009,0.0011829,0.0011829,0.0011829
46,468.756,0.444,0.59108,0.91529,0.97265,0.7735,0.79267,0.72789,0.35236,0.71813,0.71954,0.0011719,0.0011719,0.0011719
47,478.474,0.4465,0.63794,0.90358,0.92313,0.725,0.74325,0.71515,0.37125,0.69663,0.73056,0.0011609,0.0011609,0.0011609
48,488.234,0.47608,0.60578,0.91975,0.96664,0.725,0.75308,0.70949,0.34229,0.66317,0.70871,0.0011499,0.0011499,0.0011499
49,497.908,0.41519,0.58311,0.91132,0.94043,0.75,0.77274,0.72934,0.31486,0.65489,0.70968,0.00113889,0.00113889,0.00113889
50,507.618,0.47738,0.62381,0.91323,0.94052,0.72674,0.78355,0.72817,0.32682,0.68944,0.71024,0.00112789,0.00112789,0.00112789
51,517.347,0.47756,0.63063,0.92849,0.9747,0.72639,0.76241,0.72092,0.34118,0.6841,0.71505,0.00111689,0.00111689,0.00111689
52,527.118,0.44992,0.57556,0.91196,0.98921,0.725,0.77529,0.72663,0.31735,0.62821,0.70306,0.00110589,0.00110589,0.00110589
53,536.883,0.52022,0.61887,0.93089,0.98019,0.775,0.81161,0.73251,0.34457,0.62107,0.70944,0.00109489,0.00109489,0.00109489
54,546.599,0.40882,0.56129,0.88801,0.96696,0.74664,0.78654,0.70578,0.36125,0.64136,0.71505,0.00108388,0.00108388,0.00108388
55,556.342,0.42433,0.57932,0.90757,0.9948,0.69758,0.78443,0.71434,0.35475,0.65187,0.71415,0.00107288,0.00107288,0.00107288
56,566.141,0.49159,0.61738,0.91912,0.92657,0.74611,0.80218,0.69842,0.3791,0.63951,0.73029,0.00106188,0.00106188,0.00106188
57,575.884,0.41398,0.54778,0.88654,0.93977,0.74532,0.77576,0.69714,0.38593,0.64094,0.72525,0.00105088,0.00105088,0.00105088
58,585.639,0.4536,0.53406,0.9245,0.94347,0.74578,0.75531,0.68054,0.38152,0.65197,0.72353,0.00103987,0.00103987,0.00103987
59,595.356,0.43659,0.56438,0.91115,0.97831,0.74447,0.76457,0.71821,0.35675,0.61466,0.7121,0.00102887,0.00102887,0.00102887
60,605.013,0.41582,0.5091,0.89407,0.93213,0.75,0.75206,0.71968,0.29166,0.54697,0.67987,0.00101787,0.00101787,0.00101787
61,614.746,0.47217,0.56076,0.91788,0.94909,0.775,0.77125,0.72927,0.30333,0.58637,0.67769,0.00100687,0.00100687,0.00100687
62,624.498,0.43788,0.51829,0.90147,0.91323,0.74725,0.74735,0.71979,0.32676,0.57849,0.69133,0.000995866,0.000995866,0.000995866
63,634.326,0.42497,0.55293,0.93253,0.91448,0.76755,0.77722,0.71672,0.3434,0.58732,0.70401,0.000984864,0.000984864,0.000984864
64,644.107,0.42434,0.51348,0.90131,0.98915,0.69745,0.75541,0.69667,0.3602,0.62996,0.70816,0.000973861,0.000973861,0.000973861
65,653.802,0.46635,0.50241,0.92194,0.91797,0.72628,0.76588,0.71041,0.36578,0.61791,0.71013,0.000962859,0.000962859,0.000962859
66,663.522,0.4098,0.50517,0.89024,0.99036,0.725,0.78839,0.7045,0.32512,0.57371,0.69674,0.000951857,0.000951857,0.000951857
67,673.227,0.40016,0.48524,0.87631,0.92417,0.7376,0.76027,0.71245,0.30109,0.55142,0.68639,0.000940855,0.000940855,0.000940855
68,683.07,0.46985,0.51992,0.95409,0.95751,0.74333,0.74971,0.72312,0.27362,0.53028,0.68075,0.000929853,0.000929853,0.000929853
69,692.76,0.42569,0.52742,0.89467,0.94963,0.75,0.75093,0.71653,0.29111,0.54452,0.68964,0.00091885,0.00091885,0.00091885
70,702.535,0.43087,0.50629,0.92066,0.92841,0.75,0.75513,0.72433,0.29766,0.54558,0.69692,0.000907848,0.000907848,0.000907848
71,712.276,0.42797,0.49043,0.90156,0.92685,0.775,0.77247,0.71921,0.32999,0.55613,0.70576,0.000896846,0.000896846,0.000896846
72,722.029,0.39985,0.47539,0.89672,0.98134,0.74882,0.76879,0.71258,0.32089,0.47753,0.70241,0.000885844,0.000885844,0.000885844
73,731.729,0.44365,0.48189,0.91657,0.9789,0.74959,0.79737,0.72467,0.29843,0.45989,0.70328,0.000874842,0.000874842,0.000874842
74,741.482,0.38811,0.47109,0.91045,0.9794,0.75,0.76024,0.70687,0.3186,0.4878,0.70052,0.000863839,0.000863839,0.000863839
75,751.247,0.40035,0.45704,0.87967,0.97101,0.775,0.78676,0.71324,0.31097,0.52599,0.70384,0.000852837,0.000852837,0.000852837
76,760.989,0.46289,0.52914,0.92516,0.97839,0.77449,0.786,0.73599,0.32469,0.52272,0.70765,0.000841835,0.000841835,0.000841835
77,770.704,0.36921,0.45429,0.87537,0.99021,0.75,0.77658,0.73089,0.30541,0.46842,0.69846,0.000830833,0.000830833,0.000830833
78,780.458,0.37232,0.46577,0.88368,0.99394,0.75,0.76161,0.73296,0.28651,0.4468,0.68718,0.000819831,0.000819831,0.000819831
79,790.329,0.37854,0.43369,0.88009,0.99464,0.75,0.76325,0.73048,0.2602,0.41659,0.67885,0.000808828,0.000808828,0.000808828
80,800.094,0.34718,0.42579,0.87885,0.99299,0.75,0.79939,0.74851,0.24427,0.3983,0.67571,0.000797826,0.000797826,0.000797826
81,809.809,0.37788,0.45709,0.8965,0.99408,0.75,0.80359,0.75118,0.2554,0.38733,0.67653,0.000786824,0.000786824,0.000786824
82,819.518,0.42225,0.46153,0.94234,0.99512,0.75,0.80392,0.7519,0.27388,0.39983,0.68,0.000775822,0.000775822,0.000775822
83,829.215,0.36674,0.42994,0.87822,0.96526,0.77315,0.8147,0.75163,0.29046,0.41368,0.69013,0.00076482,0.00076482,0.00076482
84,838.929,0.40876,0.50497,0.87905,0.99333,0.75,0.76457,0.74981,0.25973,0.38319,0.67886,0.000753817,0.000753817,0.000753817
85,848.606,0.36494,0.44206,0.86776,0.96547,0.77335,0.79611,0.75161,0.24479,0.37562,0.67357,0.000742815,0.000742815,0.000742815
86,858.359,0.382,0.42547,0.89053,0.96678,0.77335,0.79596,0.75645,0.25014,0.36763,0.67211,0.000731813,0.000731813,0.000731813
87,868.062,0.42068,0.54463,0.92799,0.9724,0.77336,0.79581,0.74959,0.23481,0.33823,0.6644,0.000720811,0.000720811,0.000720811
88,877.809,0.35889,0.41815,0.87336,0.97611,0.77341,0.79535,0.74783,0.25412,0.34461,0.67031,0.000709809,0.000709809,0.000709809
89,887.55,0.37244,0.41406,0.88652,0.99418,0.75,0.7539,0.74504,0.23178,0.36024,0.66603,0.000698806,0.000698806,0.000698806
90,897.307,0.36675,0.43198,0.85869,0.99428,0.75,0.75332,0.74618,0.24314,0.37365,0.66889,0.000687804,0.000687804,0.000687804
91,907.055,0.37715,0.44367,0.90714,0.99208,0.75,0.74922,0.74413,0.2395,0.3772,0.67128,0.000676802,0.000676802,0.000676802
92,916.814,0.35828,0.41877,0.87033,0.98768,0.75,0.75345,0.73324,0.26923,0.36485,0.67486,0.0006658,0.0006658,0.0006658
93,926.537,0.36342,0.41787,0.87602,0.98751,0.75,0.75426,0.73912,0.26657,0.36505,0.67363,0.000654798,0.000654798,0.000654798
94,936.351,0.36437,0.42289,0.88803,0.98741,0.74729,0.75349,0.73839,0.25397,0.3386,0.67251,0.000643795,0.000643795,0.000643795
95,946.074,0.40102,0.45025,0.93726,0.9842,0.74875,0.75138,0.73184,0.25172,0.33649,0.66965,0.000632793,0.000632793,0.000632793
96,955.812,0.41671,0.44438,0.93739,0.98606,0.74964,0.76614,0.73776,0.26782,0.37929,0.67569,0.000621791,0.000621791,0.000621791
97,965.744,0.32788,0.41042,0.86513,0.98953,0.74933,0.76652,0.73866,0.26099,0.37325,0.67629,0.000610789,0.000610789,0.000610789
98,975.508,0.31435,0.38654,0.85595,0.99011,0.74664,0.77689,0.73211,0.26201,0.38286,0.67898,0.000599787,0.000599787,0.000599787
99,985.225,0.37114,0.40601,0.88486,0.99124,0.74148,0.77308,0.72401,0.28008,0.40718,0.68353,0.000588784,0.000588784,0.000588784
100,994.963,0.3506,0.3929,0.88918,0.97627,0.775,0.78813,0.73604,0.28057,0.41807,0.68092,0.000577782,0.000577782,0.000577782
101,1004.67,0.324,0.38943,0.87245,0.99149,0.74831,0.76942,0.74009,0.26008,0.39287,0.67673,0.00056678,0.00056678,0.00056678
102,1014.46,0.33271,0.39506,0.86582,0.99075,0.73955,0.77581,0.73356,0.23681,0.37187,0.6699,0.000555778,0.000555778,0.000555778
103,1024.19,0.31757,0.37569,0.85792,0.99397,0.74942,0.77324,0.73934,0.23439,0.34974,0.66671,0.000544776,0.000544776,0.000544776
104,1033.92,0.31683,0.36079,0.87747,0.98114,0.77493,0.78428,0.74442,0.24757,0.32104,0.67336,0.000533773,0.000533773,0.000533773
105,1043.58,0.33232,0.37014,0.89009,0.97982,0.77363,0.78249,0.74439,0.24175,0.32138,0.67093,0.000522771,0.000522771,0.000522771
106,1053.31,0.31884,0.37526,0.86667,0.98904,0.75,0.75647,0.73584,0.2452,0.32858,0.67142,0.000511769,0.000511769,0.000511769
107,1062.99,0.33527,0.37505,0.86149,0.98935,0.75,0.75577,0.73335,0.2444,0.32018,0.67021,0.000500767,0.000500767,0.000500767
108,1072.76,0.33277,0.36898,0.87414,0.99097,0.75,0.7527,0.73465,0.23338,0.31438,0.66801,0.000489765,0.000489765,0.000489765
109,1082.47,0.30116,0.37262,0.83551,0.99089,0.75,0.75499,0.7347,0.23055,0.30469,0.66864,0.000478762,0.000478762,0.000478762
110,1092.22,0.3518,0.41373,0.88037,0.9903,0.75,0.75556,0.73916,0.22141,0.29955,0.66371,0.00046776,0.00046776,0.00046776
111,1101.95,0.2972,0.34548,0.85705,0.98989,0.75,0.75641,0.73818,0.22373,0.30155,0.6613,0.000456758,0.000456758,0.000456758
112,1111.72,0.33982,0.36229,0.89418,0.99289,0.75,0.77345,0.74737,0.21053,0.29183,0.65666,0.000445756,0.000445756,0.000445756
113,1121.46,0.30829,0.34337,0.86575,0.99268,0.75,0.77488,0.751,0.20578,0.28405,0.65814,0.000434754,0.000434754,0.000434754
114,1131.27,0.30481,0.34772,0.85614,0.99283,0.75,0.77642,0.75002,0.2149,0.28468,0.66077,0.000423751,0.000423751,0.000423751
115,1141.09,0.29772,0.34522,0.87495,0.99268,0.75,0.7541,0.72817,0.22158,0.28326,0.65844,0.000412749,0.000412749,0.000412749
116,1150.77,0.30139,0.3467,0.87813,0.99092,0.75,0.78674,0.74327,0.2107,0.28675,0.65897,0.000401747,0.000401747,0.000401747
117,1160.48,0.34771,0.39658,0.90855,0.98813,0.75,0.76582,0.74331,0.20916,0.27752,0.658,0.000390745,0.000390745,0.000390745
